Категория;Ссылка на иконку
Архитектура;city_and_architecture_event_holiday_building_landmark_day_bastille_icon_265882.png
Биология;3700472-biology-chemical-chemistry-ecology-flask-laboratory-science_108761.png
География;1490886340-34-globe_82471 (1).png
Животные;free-30-instagram-stories-icons23_122570.png
Игры;Games_24302.png
Искусство;art-pallete_102830.png
История;history_time_clock_1019.png
Кино;clapperboard_cinema_icon-icons.com_66131.png
Космос;3285300-launch-rocket-space-spacecraft-spaceship-starship-startup_106797.png
Кулинария;cooking_hot_cook_food_boiling_icon_133527.png
Литература;3700471-book-books-education-library-literature-reading-study_108741.png
Математика;3700465-business-calculating-calculator-finance-maths-technological_108748.png
Мифология;pan_4793074.png
Музыка;music_piano_cello_1753.png
Наука;3700459-chemical-chemistry-education-flask-science-test-tube_108750.png
Общая эрудиция;thinking_brainstorm_skill_intelligence_mindset_icon_251303.png
Разное;misc_box_15274.png
Спорт;1490877818-sport-badges05_82419.png
Транспорт;Cabriolet_Red_icon-icons.com_54906.png
Технологии;1562685-code-computer-creative-html-process-technology-web-development_107046.png
Физика;science_education_nuclear_physics_atomic_atoms_icon_267066.png
Химия;1484271165-vessel_77873.png
Языки;language_learn_icon-icons.com_51070.png
